filename,lat,lon,index,continent
shard0_00000.jpg,41.906,12.455,0,Europe
shard0_00001.jpg,48.211072,16.36736,1,Europe
shard0_00002.jpg,43.942876,12.774091,2,Europe
shard0_00003.jpg,41.339055,14.507789,3,Europe
shard0_00004.jpg,-23.210269,-44.693223,4,South America
shard0_00005.jpg,35.659384,139.700673,5,Asia
shard0_00006.jpg,41.383594,2.167063,6,Europe
shard0_00007.jpg,35.311724,46.96588,7,Asia
shard0_00008.jpg,-23.385988,150.506231,8,Oceania
shard0_00009.jpg,-33.89669,151.186434,9,Oceania
shard0_00010.jpg,47.018067,-65.549626,10,North America
shard0_00011.jpg,48.857599,2.337684,11,Europe
shard0_00012.jpg,43.523534,11.568431,12,Europe
shard0_00013.jpg,40.748297,-73.973693,13,North America
shard0_00014.jpg,38.700515,-9.056854,14,Europe
shard0_00015.jpg,34.274524,-119.30088,15,North America
shard0_00016.jpg,36.158978,-121.672167,16,North America
shard0_00017.jpg,35.906069,-78.929816,17,North America
shard0_00018.jpg,41.756242,12.292853,18,Europe
shard0_00019.jpg,32.822227,-96.718225,19,North America
shard0_00020.jpg,43.64825,-84.26683,20,North America
shard0_00021.jpg,70.084374,29.803762,21,Europe
shard0_00022.jpg,25.885947,-80.274289,22,North America
shard0_00023.jpg,37.285389,-2.521018,23,Europe
shard0_00024.jpg,23.125836,-82.367248,24,North America
shard0_00025.jpg,-44.999767,168.640136,25,Oceania
shard0_00026.jpg,36.043894,-111.82743,26,North America
shard0_00027.jpg,39.753302,-104.987132,27,North America
shard0_00028.jpg,-16.527591,145.994501,28,Unknown
shard0_00029.jpg,34.096489,-118.145749,29,North America
shard0_00030.jpg,28.595336,-81.352558,30,North America
shard0_00031.jpg,59.33807,18.054614,31,Europe
shard0_00032.jpg,37.174679,-109.927568,32,North America
shard0_00033.jpg,52.075932,4.310545,33,Europe
shard0_00034.jpg,26.903931,-82.026414,34,North America
shard0_00035.jpg,37.738268,-122.455716,35,North America
shard0_00036.jpg,45.875802,0.17533,36,Europe
shard0_00037.jpg,42.179668,-88.211166,37,North America
shard0_00038.jpg,43.359872,-5.845984,38,Europe
shard0_00039.jpg,42.453275,-76.49468,39,North America
shard0_00040.jpg,69.366888,19.622611,40,Europe
shard0_00041.jpg,39.330778,16.178398,41,Europe
shard0_00042.jpg,44.717221,-73.412017,42,North America
shard0_00043.jpg,50.940437,6.870537,43,Europe
shard0_00044.jpg,51.493608,7.45182,44,Europe
shard0_00045.jpg,44.923166,-93.147,45,North America
shard0_00046.jpg,43.909642,5.197563,46,Europe
shard0_00047.jpg,48.18273,16.30488,47,Europe
shard0_00048.jpg,41.903802,12.456028,48,Europe
shard0_00049.jpg,20.282808,85.649414,49,Asia
shard0_00050.jpg,35.001011,135.773671,50,Asia
shard0_00051.jpg,42.765444,-86.099298,51,North America
shard0_00052.jpg,51.643103,-0.801041,52,Europe
shard0_00053.jpg,47.677878,-117.429054,53,North America
shard0_00054.jpg,-37.798748,144.978165,54,Oceania
shard0_00055.jpg,37.151013,-2.779541,55,Europe
shard0_00056.jpg,48.859738,2.338167,56,Europe
shard0_00057.jpg,-35.11537,138.52843,57,Oceania
shard0_00058.jpg,36.675475,-121.655334,58,North America
shard0_00059.jpg,52.382339,-1.565135,59,Europe
shard0_00060.jpg,36.462503,25.387086,60,Unknown
shard0_00061.jpg,43.522267,-5.749558,61,Europe
shard0_00062.jpg,27.817405,-15.765488,62,Unknown
shard0_00063.jpg,49.098269,-123.178281,63,Unknown
shard0_00064.jpg,41.116946,1.258395,64,Europe
shard0_00065.jpg,-33.869025,151.198782,65,Oceania
shard0_00066.jpg,44.507449,11.352506,66,Europe
shard0_00067.jpg,45.890008,-86.879882,67,North America
shard0_00068.jpg,22.149371,113.564429,68,Unknown
shard0_00069.jpg,46.759091,17.246732,69,Europe
shard0_00070.jpg,-37.783536,144.951725,70,Oceania
shard0_00071.jpg,41.901451,12.457759,71,Europe
shard0_00072.jpg,-12.316789,39.32846,72,Africa
shard0_00073.jpg,38.253195,15.557842,73,Unknown
shard0_00074.jpg,13.806079,77.610061,74,Asia
shard0_00075.jpg,44.836929,-0.568613,75,Europe
shard0_00076.jpg,34.148399,-118.283663,76,North America
shard0_00077.jpg,43.421919,-123.299114,77,North America
shard0_00078.jpg,48.858828,2.293546,78,Europe
shard0_00079.jpg,-34.592519,-58.458251,79,South America
shard0_00080.jpg,51.097175,-114.350509,80,North America
shard0_00081.jpg,-33.797096,151.288948,81,Oceania
shard0_00082.jpg,43.57328,1.467852,82,Europe
shard0_00083.jpg,42.310297,-4.061694,83,Europe
shard0_00084.jpg,47.668335,-122.350702,84,North America
shard0_00085.jpg,48.306034,14.282913,85,Europe
shard0_00086.jpg,10.40545,-75.554602,86,Unknown
shard0_00087.jpg,43.548952,-6.532917,87,Europe
shard0_00088.jpg,35.516692,102.013721,88,Asia
shard0_00089.jpg,40.417024,-3.683896,89,Europe
shard0_00090.jpg,-42.070321,145.587043,90,Oceania
shard0_00091.jpg,50.591083,8.097095,91,Europe
shard0_00092.jpg,-22.990259,-43.190925,92,South America
